Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
2003.0,0,72.8,18.0,1.0,4.29,14.72,145.5,8.0,47.9,1.0,145.5,6.27,145.5,0.1,189.68,339616.0,1.9,2.0,0.67,10.7
2002.0,0,73.3,15.0,1.0,3.73,104.52,144.0,16.0,46.9,1.0,147.0,6.3,147.0,0.1,1453.64,3511.0,2.0,2.1,0.67,10.7
2001.0,0,73.6,14.0,1.0,4.25,96.21,144.0,18.0,46.0,1.0,145.5,6.0,145.5,0.1,1326.97,36173.0,2.1,2.1,0.66,10.6
2000.0,0,72.6,11.0,1.0,3.66,91.71,144.0,143.09429464296772,45.0,1.0,145.5,6.26,145.5,0.1,1175.79,38927.0,2.1,2.2,0.66,10.7
2015.0,0,75.6,19.0,21.0,0.41,0.0,142.5,63.0,59.5,24.0,142.5,4.6,142.5,0.1,4132.76,39871528.0,6.0,5.8,0.74,14.4
2014.0,0,75.4,11.0,21.0,0.4607560962964239,54.24,142.5,0.0,58.4,24.0,142.5,7.21,142.5,0.1,547.85,39113313.0,6.0,5.8,0.74,14.4
2013.0,0,75.3,112.0,21.0,0.53,544.45,142.5,25.0,57.2,24.0,142.5,7.12,142.5,0.1,5471.87,38338562.0,5.9,5.8,0.74,14.4
2012.0,0,75.1,113.0,21.0,0.66,555.93,142.5,18.0,56.1,24.0,142.5,6.14,142.5,0.1,5564.83,37565847.0,5.9,5.8,0.73,14.4
2011.0,0,74.9,116.0,21.0,0.56,509.0,142.5,112.0,55.0,24.0,142.5,5.29,142.5,0.1,5432.25,36819558.0,5.9,5.8,0.72,14.0
2010.0,0,74.7,119.0,21.0,0.45,430.72,142.5,103.0,53.9,24.0,142.5,5.12,142.5,0.1,4463.39,36117637.0,5.9,5.8,0.71,13.6
2009.0,0,74.4,123.0,20.0,0.5,352.06,141.0,107.0,52.8,23.0,141.0,5.36,142.5,0.1,3868.83,3546576.0,6.0,5.9,0.7,13.1
2008.0,0,74.1,126.0,20.0,0.46,43.09,136.5,217.0,51.8,23.0,138.0,4.2,139.5,0.1,495.25,3486715.0,6.0,5.9,0.7,12.6
2007.0,0,73.8,129.0,20.0,0.44,320.32,13.5,0.0,49.251132848279525,23.0,142.5,3.82,142.5,0.1,3935.18,34376.0,6.0,5.9,0.69,12.3
2006.0,0,73.4,132.0,20.0,0.36,270.24,12.0,944.0,49.8,23.0,142.5,3.36,142.5,0.1,3464.62,33777915.0,6.1,6.0,0.69,12.3
2005.0,0,72.9,136.0,19.0,0.5,2.55,124.5,2302.0,48.9,22.0,132.0,3.24,132.0,0.1,31.12,33288437.0,6.1,6.0,0.68,12.0
2004.0,0,72.3,14.0,19.0,0.45,220.39,121.5,3289.0,47.9,23.0,129.0,3.54,129.0,0.1,2598.98,3283196.0,6.2,6.1,0.67,11.7
2003.0,0,71.7,146.0,20.0,0.34,25.02,117.0,4748.134939425901,47.0,23.0,130.5,3.6,130.5,0.1,294.34,3243514.0,6.3,6.1,0.66,11.5
2002.0,0,71.6,145.0,20.0,0.36,148.51,117.0,5862.0,46.1,23.0,129.0,3.73,129.0,0.1,1774.34,3199546.0,6.3,6.2,0.65,11.1
2001.0,0,71.4,145.0,20.0,0.23,147.99,117.0,2686.0,45.3,24.0,133.5,3.84,133.5,0.1,1732.86,31592153.0,6.4,6.3,0.64,10.9
2000.0,0,71.3,145.0,21.0,0.25,154.46,117.0,0.0,44.4,25.0,129.0,3.49,129.0,0.1,1757.18,3118366.0,6.5,6.4,0.64,10.7
2015.0,0,52.4,335.0,66.0,5.74,0.0,96.0,118.0,23.3,98.0,10.5,3.92,96.0,1.9,3695.79,2785935.0,8.3,8.2,0.53,11.4
2014.0,0,51.7,348.0,67.0,8.33,23.97,96.0,11699.0,22.7,101.0,102.0,3.31,96.0,2.0,479.31,2692466.0,8.5,8.3,0.53,11.4
2013.0,0,51.1,355.0,69.0,8.1,35.96,115.5,8523.0,22.1,105.0,100.5,4.26,115.5,2.3,484.62,2599834.0,8.6,8.5,0.52,11.4
2012.0,0,56.0,358.0,72.0,8.24,256.12,112.5,4458.0,21.5,110.0,112.5,3.3,112.5,2.6,4598.25,259615.0,8.8,8.6,0.51,10.3
2011.0,0,51.0,361.0,75.0,8.06,239.89,108.0,1449.0,21.0,115.0,109.5,3.38,106.5,2.5,4299.13,24218565.0,8.9,8.8,0.5,9.4
2010.0,0,49.6,365.0,78.0,7.8,191.65,115.5,1190.0,18.428006617894173,121.0,121.5,3.39,115.5,2.5,3529.53,23369131.0,9.1,9.0,0.49,9.0
2009.0,0,49.1,369.0,81.0,7.01,212.92,91.5,2807.0,19.8,127.0,94.5,4.37,9.0,2.5,3347.84,22549547.0,9.3,9.2,0.48,8.5
